plan_row,csv_row,priority,longitude,latitude,success_ordinal,attempt_ordinal,status,failure_reason,started_at,running_observed_at,ended_at,web_score,video_score,session_id,stage_notes,actual_latitude,actual_longitude,location_error_meters,fix_is_mock,fix_at,verified_at,fix_accuracy_meters,tolerance_meters_used
1,1,1,30.522806,50.479954,,1,interrupted,INTERRUPTED,2026-08-02 15:35:11,,2026-08-02 15:35:14,,,1,gps_skipped,50.479953589590906,30.52280601114035,0.04566005989909172,true,2026-08-02 15:35:11,2026-08-02 15:35:12,0.009999999776482582,100.0
1,1,1,30.522806,50.479954,1,2,succeeded,,2026-08-02 15:42:50,2026-08-02 15:42:57,2026-08-02 15:43:25,9.0,9.0,2,gps_skipped,50.479953589590906,30.52280601114035,0.04566005989909172,true,2026-08-02 15:42:50,2026-08-02 15:42:50,0.009999999776482582,100.0
1,1,1,30.534,50.468,,1,failed,LOCATION_MISMATCH,2026-08-02 15:47:41,,2026-08-02 15:47:41,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:47:41,2026-08-02 15:47:41,0.009999999776482582,100.0
1,1,1,30.534,50.468,,2,failed,LOCATION_MISMATCH,2026-08-02 15:47:46,,2026-08-02 15:47:46,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:47:46,2026-08-02 15:47:46,0.009999999776482582,100.0
1,1,1,30.534,50.468,,3,failed,LOCATION_MISMATCH,2026-08-02 15:47:51,,2026-08-02 15:47:51,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:47:51,2026-08-02 15:47:51,0.009999999776482582,100.0
1,1,1,30.534,50.468,,4,failed,LOCATION_MISMATCH,2026-08-02 15:47:56,,2026-08-02 15:47:56,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:47:56,2026-08-02 15:47:56,0.009999999776482582,100.0
1,1,1,30.534,50.468,,5,failed,LOCATION_MISMATCH,2026-08-02 15:48:01,,2026-08-02 15:48:01,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:48:01,2026-08-02 15:48:01,0.009999999776482582,100.0
1,1,1,30.534,50.468,,6,failed,LOCATION_MISMATCH,2026-08-02 15:48:07,,2026-08-02 15:48:07,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:48:06,2026-08-02 15:48:07,0.009999999776482582,100.0
1,1,1,30.534,50.468,,7,failed,LOCATION_MISMATCH,2026-08-02 15:48:12,,2026-08-02 15:48:12,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:48:11,2026-08-02 15:48:12,0.009999999776482582,100.0
1,1,1,30.534,50.468,,8,failed,LOCATION_MISMATCH,2026-08-02 15:48:17,,2026-08-02 15:48:17,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:48:16,2026-08-02 15:48:17,0.009999999776482582,100.0
1,1,1,30.534,50.468,,9,failed,LOCATION_MISMATCH,2026-08-02 15:48:22,,2026-08-02 15:48:22,,,3,gps_skipped,50.479953589590906,30.52280601114035,1549.0477294921875,true,2026-08-02 15:48:21,2026-08-02 15:48:22,0.009999999776482582,100.0
1,1,1,30.534,50.468,,10,failed,LOCATION_NOT_MOCKED,2026-08-02 15:54:52,,2026-08-02 15:54:52,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:54:52,2026-08-02 15:54:52,100.0,100.0
1,1,1,30.534,50.468,,11,failed,LOCATION_NOT_MOCKED,2026-08-02 15:54:57,,2026-08-02 15:54:57,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:54:52,2026-08-02 15:54:57,100.0,100.0
1,1,1,30.534,50.468,,12,failed,LOCATION_NOT_MOCKED,2026-08-02 15:55:02,,2026-08-02 15:55:02,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:54:52,2026-08-02 15:55:02,100.0,100.0
1,1,1,30.534,50.468,,13,failed,LOCATION_NOT_MOCKED,2026-08-02 15:55:07,,2026-08-02 15:55:07,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:54:52,2026-08-02 15:55:07,100.0,100.0
1,1,1,30.534,50.468,,14,failed,LOCATION_NOT_MOCKED,2026-08-02 15:55:12,,2026-08-02 15:55:13,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:54:52,2026-08-02 15:55:12,100.0,100.0
1,1,1,30.534,50.468,,15,failed,LOCATION_NOT_MOCKED,2026-08-02 15:55:18,,2026-08-02 15:55:18,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:54:52,2026-08-02 15:55:18,100.0,100.0
1,1,1,30.534,50.468,,16,failed,LOCATION_NOT_MOCKED,2026-08-02 15:55:23,,2026-08-02 15:55:23,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:55:23,2026-08-02 15:55:23,100.0,100.0
1,1,1,30.534,50.468,,17,failed,LOCATION_NOT_MOCKED,2026-08-02 15:55:28,,2026-08-02 15:55:28,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:55:23,2026-08-02 15:55:28,100.0,100.0
1,1,1,30.534,50.468,,18,failed,LOCATION_NOT_MOCKED,2026-08-02 15:55:33,,2026-08-02 15:55:33,,,4,gps_skipped,50.4846048,30.4037324,,false,2026-08-02 15:55:23,2026-08-02 15:55:33,100.0,100.0
1,1,1,30.534,50.468,,19,interrupted,INTERRUPTED,2026-08-02 22:38:26,2026-08-02 22:38:34,2026-08-02 22:39:08,,,5,gps_skipped,,,,,,,,
